datetime,v,vw,o,c,h,l,t,n
2023-09-07 13:00:00,31439065.0,175.8143,176.1707,176.23,177.79,173.54,1694091600000,352519
2023-09-07 14:00:00,18503632.0,176.3919,176.23,176.6999,177.175,175.69,1694095200000,277855
2023-09-07 15:00:00,12095931.0,177.4306,176.69,176.975,178.21,176.65,1694098800000,127833
2023-09-07 16:00:00,7440188.0,177.0385,176.97,176.735,177.68,176.65,1694102400000,84394
2023-09-08 10:00:00,65184.0,177.614,177.52,177.8,177.82,177.16,1694167200000,1507
2023-09-08 11:00:00,208886.0,177.5831,177.78,177.48,177.89,177.24,1694170800000,3742
2023-09-08 12:00:00,658277.0,177.8048,177.7913,178.1901,179.75,177.06,1694174400000,12853
2023-09-08 13:00:00,11823081.0,179.4497,178.19,179.075,180.239,178.15,1694178000000,157670
2023-09-08 14:00:00,10321708.0,179.5028,179.0784,178.9442,180.0252,178.93,1694181600000,192340
2023-09-08 15:00:00,8763328.0,179.502,178.94,179.545,180.2,178.7,1694185200000,87723
2023-09-08 16:00:00,5490580.0,179.5568,179.55,179.6181,179.99,179.21,1694188800000,58797
2023-09-11 10:00:00,43020.0,179.5781,179.57,179.65,179.74,179.45,1694426400000,1063
2023-09-11 11:00:00,275612.0,179.7965,179.58,180.04,180.11,179.25,1694430000000,4449
2023-09-11 12:00:00,528260.0,180.2938,179.66,180.68,180.8,179.2,1694433600000,9667
2023-09-11 13:00:00,10522055.0,178.7476,180.66,178.01,180.8,177.48,1694437200000,153125
2023-09-11 14:00:00,9812726.0,177.8231,178.01,177.8,178.33,177.34,1694440800000,225673
2023-09-11 15:00:00,6539290.0,178.4168,177.79,178.4201,178.95,177.755,1694444400000,70463
2023-09-11 16:00:00,5040903.0,178.5361,178.42,178.6646,178.86,178.25,1694448000000,51446
2023-09-12 10:00:00,42182.0,179.9016,179.86,179.9,180.02,179.72,1694512800000,901
2023-09-12 11:00:00,86716.0,179.8292,179.91,179.75,179.96,179.69,1694516400000,1337
2023-09-12 12:00:00,331216.0,179.9,179.91,179.75,180.2,179.55,1694520000000,8144
2023-09-12 13:00:00,7425599.0,179.2926,179.74,178.73,180.13,178.45,1694523600000,107216
2023-09-12 14:00:00,13708592.0,177.4575,178.73,176.345,178.7399,176.23,1694527200000,226485
2023-09-12 15:00:00,7235724.0,176.6784,176.345,176.6801,177.12,176.25,1694530800000,86424
2023-09-12 16:00:00,6619981.0,176.9115,176.685,176.9691,177.27,176.395,1694534400000,69650
2023-09-13 10:00:00,79368.0,175.4299,175.43,175.5,175.59,175.2,1694599200000,1630
2023-09-13 11:00:00,275315.0,175.9483,175.58,176.66,176.73,175.21,1694602800000,4407
2023-09-13 12:00:00,1188109.0,176.5198,175.44,177.1,177.4,175.3,1694606400000,17668
2023-09-13 13:00:00,12582645.0,175.7891,177.1,175.8082,177.4982,174.59,1694610000000,160694
2023-09-13 14:00:00,12425186.0,174.9263,175.815,174.735,175.8999,174.07,1694613600000,150949
2023-09-13 15:00:00,10942671.0,175.1083,174.74,175.7325,175.77,174.67,1694617200000,81385
2023-09-13 16:00:00,6914709.0,175.7529,175.74,175.565,176.23,175.26,1694620800000,63319
2023-09-14 10:00:00,42329.0,174.9842,174.74,175.0,175.19,174.72,1694685600000,1091
2023-09-14 11:00:00,245034.0,174.8035,174.97,174.55,175.02,174.4,1694689200000,3417
2023-09-14 12:00:00,623408.0,174.6136,174.88,174.44,175.14,174.1,1694692800000,11181
2023-09-14 13:00:00,9975956.0,174.7355,174.41,175.37,175.63,173.58,1694696400000,134822
2023-09-14 14:00:00,9702213.0,174.987,175.4,175.22,175.57,174.31,1694700000000,177706
