,v,vw,o,c,h,l,t,n
135,100,715.3000,715.3000,715.3000,715.3000,715.3000,2024-02-13,10:20:20,1
136,113,715.3154,715.3100,715.3100,715.3100,715.3100,2024-02-13,10:20:25,3
137,100,715.4000,715.4000,715.4000,715.4000,715.4000,2024-02-13,10:20:30,1
138,479,715.4114,715.5700,715.5700,715.5700,715.5700,2024-02-13,10:20:35,18
139,657,715.5699,715.5700,715.5700,715.5700,715.5700,2024-02-13,10:20:40,4
140,153,715.7994,715.8000,715.8000,715.8000,715.8000,2024-02-13,10:21:25,3
141,208,715.9894,715.9900,715.9900,715.9900,715.9900,2024-02-13,10:21:35,6
142,293,715.9836,716.0300,716.0300,716.0300,716.0300,2024-02-13,10:22:00,6
143,564,715.6334,715.5700,715.5700,715.5700,715.5700,2024-02-13,10:22:10,19
144,627,715.1182,715.1300,715.0800,715.1300,715.0800,2024-02-13,10:22:50,13
145,426,715.0354,715.0300,715.0300,715.0300,715.0300,2024-02-13,10:23:00,39
146,141,715.0449,715.0100,715.0100,715.0100,715.0100,2024-02-13,10:23:30,2
147,300,715.1600,715.1600,715.1600,715.1600,715.1600,2024-02-13,10:23:40,2
148,1603,715.0147,715.0000,715.0000,715.0000,715.0000,2024-02-13,10:23:45,75
149,1539,715.0384,715.1400,715.0000,715.1400,715.0000,2024-02-13,10:24:00,77
150,461,714.5861,714.6000,714.5600,714.6000,714.5600,2024-02-13,10:24:30,22
151,424,714.5039,714.5000,714.5000,714.5000,714.5000,2024-02-13,10:24:45,40
152,1063,714.4058,714.4000,714.4000,714.4000,714.4000,2024-02-13,10:24:50,9
153,488,714.4020,714.4000,714.4000,714.4000,714.4000,2024-02-13,10:24:55,7
154,575,714.4021,714.4000,714.4000,714.4000,714.4000,2024-02-13,10:25:00,11
155,200,714.2827,714.2800,714.2800,714.2800,714.2800,2024-02-13,10:25:10,4
156,300,714.2647,714.2800,714.2800,714.2800,714.2800,2024-02-13,10:25:15,11
157,1233,714.1980,714.1300,714.3300,714.3300,714.1300,2024-02-13,10:26:00,22
158,100,714.5000,714.5000,714.5000,714.5000,714.5000,2024-02-13,10:26:10,1
159,817,714.2402,714.1300,714.3000,714.3000,714.1300,2024-02-13,10:26:20,17
160,233,714.1009,714.1000,714.1000,714.1000,714.1000,2024-02-13,10:26:35,6
161,274,714.0236,714.0200,714.0200,714.0200,714.0200,2024-02-13,10:26:45,6
162,198,713.8020,713.8600,713.8600,713.8600,713.8600,2024-02-13,10:26:50,12
163,2341,713.0312,713.1000,713.0000,713.1000,713.0000,2024-02-13,10:26:55,79
164,137,712.5793,712.5300,712.5300,712.5300,712.5300,2024-02-13,10:27:00,6
165,541,712.8081,712.9200,712.7800,712.9200,712.7800,2024-02-13,10:27:20,9
166,470,712.8409,712.8900,712.7500,712.8900,712.7500,2024-02-13,10:27:25,24
167,326,713.0049,713.0000,713.0000,713.0000,713.0000,2024-02-13,10:28:30,5
168,892,713.3632,713.2600,713.3800,713.3800,713.2600,2024-02-13,10:28:35,19
169,250,713.4220,713.4600,713.4600,713.4600,713.4600,2024-02-13,10:28:40,4
170,496,713.4996,713.5000,713.5000,713.5000,713.5000,2024-02-13,10:29:25,10
171,437,713.4989,713.5000,713.5000,713.5000,713.5000,2024-02-13,10:29:35,4
172,1040,713.6625,713.5100,713.8700,713.8700,713.5000,2024-02-13,10:29:45,20
173,100,713.8700,713.8700,713.8700,713.8700,713.8700,2024-02-13,10:29:50,1
174,203,713.7056,713.6700,713.7400,713.7400,713.6700,2024-02-13,10:30:20,3
175,200,713.7050,713.7400,713.7400,713.7400,713.7400,2024-02-13,10:30:25,3
176,1110,713.8920,713.9000,713.9100,713.9100,713.9000,2024-02-13,10:30:30,23
177,1216,713.9898,713.9900,714.0000,714.0000,713.9900,2024-02-13,10:30:40,14
178,202,714.1001,714.1000,714.1000,714.1000,714.1000,2024-02-13,10:30:45,6
179,203,714.1044,714.1000,714.1000,714.1000,714.1000,2024-02-13,10:30:55,3
180,390,714.1767,714.1300,714.2600,714.2600,714.1300,2024-02-13,10:31:00,8
181,936,714.3581,714.3600,714.3600,714.3600,714.3600,2024-02-13,10:31:30,3
182,132,714.4000,714.4000,714.4000,714.4000,714.4000,2024-02-13,10:31:35,4
183,1010,714.9554,714.9800,715.0000,715.0000,714.9800,2024-02-13,10:32:00,26
184,460,715.2004,715.2000,715.2000,715.2000,715.2000,2024-02-13,10:32:25,2
185,216,715.4708,715.5000,715.5000,715.5000,715.5000,2024-02-13,10:32:30,4
186,100,715.4700,715.4700,715.4700,715.4700,715.4700,2024-02-13,10:32:45,1
187,145,715.4648,715.4600,715.4600,715.4600,715.4600,2024-02-13,10:33:25,7
188,513,715.4828,715.5000,715.5000,715.5000,715.5000,2024-02-13,10:33:30,7
189,470,715.0018,715.0000,714.9300,715.0000,714.9300,2024-02-13,10:34:40,29
190,100,715.0000,715.0000,715.0000,715.0000,715.0000,2024-02-13,10:36:25,1
191,224,714.2327,714.3000,714.3000,714.3000,714.3000,2024-02-13,10:38:15,15
192,310,714.2295,714.2400,714.2400,714.2400,714.2400,2024-02-13,10:38:30,5
193,100,714.3100,714.3100,714.3100,714.3100,714.3100,2024-02-13,10:40:15,1
194,100,714.3000,714.3000,714.3000,714.3000,714.3000,2024-02-13,10:40:25,1
195,100,715.3400,715.3400,715.3400,715.3400,715.3400,2024-02-13,10:44:50,1
196,105,715.3000,715.3000,715.3000,715.3000,715.3000,2024-02-13,10:44:55,2
197,660,715.1383,715.1100,715.1100,715.1100,715.1100,2024-02-13,10:49:10,12
198,106,715.3000,715.3000,715.3000,715.3000,715.3000,2024-02-13,10:49:20,4
199,100,715.7400,715.7400,715.7400,715.7400,715.7400,2024-02-13,10:50:25,1
200,280,715.6303,715.6300,715.6300,715.6300,715.6300,2024-02-13,10:51:20,6
201,343,715.4964,715.4500,715.4500,715.4500,715.4500,2024-02-13,10:51:25,11
202,200,715.0700,715.0700,715.0700,715.0700,715.0700,2024-02-13,10:54:35,4
203,722,715.0155,715.0600,715.0600,715.0600,715.0600,2024-02-13,10:54:55,55
204,202,714.9434,714.9500,714.9400,714.9500,714.9400,2024-02-13,10:55:20,3
205,200,715.3990,715.4000,715.4000,715.4000,715.4000,2024-02-13,10:57:40,4
206,420,715.3977,715.4000,715.4000,715.4000,715.4000,2024-02-13,10:57:45,15
207,100,714.9000,714.9000,714.9000,714.9000,714.9000,2024-02-13,11:01:30,1
208,795,714.9902,715.0000,714.9900,715.0000,714.9900,2024-02-13,11:01:35,5
209,200,714.9700,714.9700,714.9700,714.9700,714.9700,2024-02-13,11:02:00,2
210,240,714.9088,714.8900,714.8900,714.8900,714.8900,2024-02-13,11:02:45,4
211,285,714.8700,714.8700,714.8700,714.8700,714.8700,2024-02-13,11:03:00,3
212,562,714.9020,714.9000,714.9000,714.9000,714.9000,2024-02-13,11:03:15,3
213,550,714.9998,715.0000,715.0000,715.0000,715.0000,2024-02-13,11:03:20,6
214,100,715.1500,715.1500,715.1500,715.1500,715.1500,2024-02-13,11:04:45,1
215,556,714.8300,714.8300,714.8300,714.8300,714.8300,2024-02-13,11:08:15,3
216,601,714.4432,714.5100,714.5100,714.5100,714.5100,2024-02-13,11:11:05,53
217,1090,714.3000,714.3000,714.3000,714.3000,714.3000,2024-02-13,11:11:20,11
218,400,714.1570,714.1200,714.1200,714.1200,714.1200,2024-02-13,11:11:30,20
219,1063,714.0548,714.1200,714.0000,714.1200,714.0000,2024-02-13,11:11:45,30
220,213,713.5109,713.5100,713.5100,713.5100,713.5100,2024-02-13,11:13:05,8
221,100,713.5100,713.5100,713.5100,713.5100,713.5100,2024-02-13,11:13:10,1
222,100,713.5100,713.5100,713.5100,713.5100,713.5100,2024-02-13,11:15:10,1
223,1836,713.1747,713.2600,713.0100,713.2600,713.0100,2024-02-13,11:15:35,119
224,219,712.8612,712.8700,712.8700,712.8700,712.8700,2024-02-13,11:15:40,7
225,1143,712.6820,712.7000,712.5600,712.7000,712.5600,2024-02-13,11:17:20,58
226,526,712.5483,712.5500,712.5500,712.5500,712.5500,2024-02-13,11:17:30,10
227,700,712.6566,712.6600,712.6600,712.6600,712.6600,2024-02-13,11:17:40,7
228,2004,712.6995,712.7000,712.7000,712.7000,712.6900,2024-02-13,11:17:45,26
229,318,712.5418,712.5700,712.5700,712.5700,712.5700,2024-02-13,11:17:50,17
230,2163,712.4952,712.4500,712.5000,712.5000,712.4500,2024-02-13,11:17:55,58
231,1433,712.2859,712.2500,712.1900,712.3700,712.1900,2024-02-13,11:18:15,29
232,293,712.4156,712.4100,712.4100,712.4100,712.4100,2024-02-13,11:18:20,8
233,137,712.4005,712.4000,712.4000,712.4000,712.4000,2024-02-13,11:18:25,3
234,220,712.3582,712.4000,712.3200,712.4000,712.3200,2024-02-13,11:18:30,3
235,319,712.4795,712.4300,712.4300,712.4300,712.4300,2024-02-13,11:18:45,12
236,205,712.6327,712.6600,712.6600,712.6600,712.6600,2024-02-13,11:19:00,4
237,700,712.9064,713.0000,713.0000,713.0000,713.0000,2024-02-13,11:19:30,31
238,100,713.0000,713.0000,713.0000,713.0000,713.0000,2024-02-13,11:19:35,1
239,750,713.0000,713.0000,713.0000,713.0000,713.0000,2024-02-13,11:19:40,4
240,105,713.6071,713.6100,713.6100,713.6100,713.6100,2024-02-13,11:20:05,2
241,398,713.7261,713.6400,713.7600,713.7600,713.6400,2024-02-13,11:20:25,5
242,1093,713.8075,713.8100,713.8100,713.8100,713.8100,2024-02-13,11:20:30,23
243,101,713.7006,713.7000,713.7000,713.7000,713.7000,2024-02-13,11:20:35,2
244,132,713.8100,713.8100,713.8100,713.8100,713.8100,2024-02-13,11:21:35,2
245,4163,713.7178,714.3000,713.5000,714.3000,713.5000,2024-02-13,11:21:50,70
246,502,714.0376,714.0500,714.0500,714.0500,714.0500,2024-02-13,11:23:00,30
247,5897,713.9974,714.0000,714.0000,714.0000,714.0000,2024-02-13,11:27:40,27
248,1049,714.0677,713.8900,714.2600,714.2600,713.8900,2024-02-13,11:27:55,37
249,100,714.1300,714.1300,714.1300,714.1300,714.1300,2024-02-13,11:29:05,1
