,v,vw,o,c,h,l,t,n
130,1026.0,170.2350,170.2400,170.2500,170.2500,170.2400,2024-02-13,12:11:10,16
131,3693.0,170.2910,170.2900,170.2900,170.2900,170.2900,2024-02-13,12:11:15,7
132,1212.0,170.3656,170.3700,170.3700,170.3700,170.3700,2024-02-13,12:11:20,19
133,902.0,170.4862,170.4600,170.4600,170.4600,170.4600,2024-02-13,12:11:40,25
134,3087.0,170.5555,170.4900,170.5700,170.5700,170.4900,2024-02-13,12:12:00,50
135,301.0,170.6748,170.6700,170.6800,170.6800,170.6700,2024-02-13,12:12:15,3
136,700.0,170.6800,170.6800,170.6800,170.6800,170.6800,2024-02-13,12:12:20,3
137,672.0,170.7162,170.7100,170.7100,170.7100,170.7100,2024-02-13,12:12:25,9
138,300.0,170.7200,170.7200,170.7200,170.7200,170.7200,2024-02-13,12:12:30,2
139,240.0,170.7242,170.7300,170.7300,170.7300,170.7300,2024-02-13,12:12:40,7
140,121.0,170.7294,170.7200,170.7200,170.7200,170.7200,2024-02-13,12:12:45,4
141,1800.0,170.7653,170.8000,170.7100,170.8000,170.7100,2024-02-13,12:12:55,29
142,100.0,170.6000,170.6000,170.6000,170.6000,170.6000,2024-02-13,12:13:40,1
143,1419.0,170.6005,170.6000,170.6000,170.6000,170.6000,2024-02-13,12:13:45,10
144,300.0,170.5067,170.5100,170.5000,170.5100,170.5000,2024-02-13,12:13:50,4
145,414.0,170.4448,170.4800,170.4400,170.4800,170.4400,2024-02-13,12:14:25,9
146,204.0,170.3696,170.3900,170.3900,170.3900,170.3900,2024-02-13,12:15:45,3
147,201.0,170.4200,170.4200,170.4200,170.4200,170.4200,2024-02-13,12:16:35,2
148,378.0,170.3235,170.3100,170.3100,170.3100,170.3100,2024-02-13,12:17:25,7
149,400.0,170.3702,170.3700,170.3700,170.3700,170.3700,2024-02-13,12:17:45,7
150,112.0,170.4000,170.4000,170.4000,170.4000,170.4000,2024-02-13,12:19:20,1
151,100.0,170.4200,170.4200,170.4200,170.4200,170.4200,2024-02-13,12:19:40,1
152,1684.0,170.4847,170.4800,170.4900,170.4900,170.4800,2024-02-13,12:19:55,21
