,v,vw,o,c,h,l,t,n
159,550,170.0000,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:08:15,2
160,190,169.9000,169.9000,169.9000,169.9000,169.9000,2024-02-13,12:08:35,2
161,700,169.9742,169.9900,169.9900,169.9900,169.9900,2024-02-13,12:08:45,16
162,300,169.9803,169.9800,169.9800,169.9800,169.9800,2024-02-13,12:10:55,5
163,514,169.9368,169.9600,169.9300,169.9600,169.9300,2024-02-13,12:12:15,10
164,1520,169.9890,169.9900,169.9900,169.9900,169.9800,2024-02-13,12:12:50,17
165,200,170.0000,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:13:00,4
166,1032,169.9300,169.9300,169.9300,169.9300,169.9300,2024-02-13,12:13:20,5
167,488,169.9021,169.9000,169.9000,169.9000,169.9000,2024-02-13,12:14:05,12
168,100,169.9000,169.9000,169.9000,169.9000,169.9000,2024-02-13,12:14:20,1
169,500,169.8077,169.8000,169.8000,169.8000,169.8000,2024-02-13,12:15:15,8
170,833,169.7926,169.8000,169.8000,169.8000,169.8000,2024-02-13,12:15:20,11
171,298,169.8000,169.8000,169.8000,169.8000,169.8000,2024-02-13,12:15:55,3
172,505,169.7267,169.7100,169.7100,169.7100,169.7100,2024-02-13,12:18:15,14
173,102,169.7500,169.7500,169.7500,169.7500,169.7500,2024-02-13,12:18:35,2
174,100,169.8000,169.8000,169.8000,169.8000,169.8000,2024-02-13,12:19:45,1
175,774,169.8494,169.8500,169.8500,169.8500,169.8500,2024-02-13,12:21:05,7
176,351,169.8506,169.8500,169.8500,169.8500,169.8500,2024-02-13,12:22:15,6
177,150,169.8667,169.8600,169.8600,169.8600,169.8600,2024-02-13,12:23:10,3
178,1275,169.9440,169.9400,169.9400,169.9500,169.9300,2024-02-13,12:24:30,24
179,425,169.9980,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:24:35,8
180,693,170.0235,170.0000,170.0500,170.0500,170.0000,2024-02-13,12:24:45,9
181,398,170.1247,170.1200,170.1200,170.1200,170.1200,2024-02-13,12:26:05,6
182,100,170.1600,170.1600,170.1600,170.1600,170.1600,2024-02-13,12:26:45,1
183,306,170.1016,170.1000,170.1000,170.1000,170.1000,2024-02-13,12:26:50,3
184,170,170.0238,170.0200,170.0200,170.0200,170.0200,2024-02-13,12:27:05,5
185,3069,170.0003,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:27:25,13
186,700,170.0000,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:28:40,1
187,600,169.9048,169.9000,169.9000,169.9000,169.9000,2024-02-13,12:30:05,6
188,400,169.9475,169.9500,169.9500,169.9500,169.9500,2024-02-13,12:30:10,3
189,300,169.9300,169.9200,169.9500,169.9500,169.9200,2024-02-13,12:30:25,2
190,100,169.9500,169.9500,169.9500,169.9500,169.9500,2024-02-13,12:30:30,1
191,312,169.9878,169.9900,169.9900,169.9900,169.9900,2024-02-13,12:30:35,7
192,285,169.9667,169.9600,169.9600,169.9600,169.9600,2024-02-13,12:30:55,4
193,208,169.9844,169.9900,169.9900,169.9900,169.9900,2024-02-13,12:31:15,7
194,1680,169.9976,169.9900,170.0000,170.0000,169.9900,2024-02-13,12:31:30,13
195,494,170.0558,170.0600,170.0600,170.0600,170.0600,2024-02-13,12:32:00,13
196,100,170.0500,170.0500,170.0500,170.0500,170.0500,2024-02-13,12:33:20,1
197,702,170.1526,170.1400,170.1400,170.1400,170.1400,2024-02-13,12:34:10,16
198,700,170.2157,170.2200,170.2200,170.2200,170.2100,2024-02-13,12:34:20,7
199,759,170.2476,170.2500,170.2500,170.2500,170.2500,2024-02-13,12:34:45,13
200,100,170.2600,170.2600,170.2600,170.2600,170.2600,2024-02-13,12:34:50,1
201,179,170.2566,170.2600,170.2600,170.2600,170.2600,2024-02-13,12:35:10,3
202,515,170.2853,170.2600,170.2600,170.2600,170.2600,2024-02-13,12:35:15,12
203,400,170.3866,170.3700,170.3700,170.3700,170.3700,2024-02-13,12:36:10,9
204,851,170.4541,170.4500,170.4600,170.4600,170.4500,2024-02-13,12:36:15,22
205,100,170.3000,170.3000,170.3000,170.3000,170.3000,2024-02-13,12:37:10,1
206,315,170.2519,170.2500,170.2500,170.2500,170.2500,2024-02-13,12:37:45,6
207,1203,170.1452,170.1400,170.1600,170.1600,170.1400,2024-02-13,12:41:10,19
208,833,170.0900,170.0900,170.0900,170.0900,170.0900,2024-02-13,12:42:25,3
209,500,170.0010,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:45:30,4
210,1051,170.0277,170.0000,170.0400,170.0400,170.0000,2024-02-13,12:46:35,13
211,180,170.0000,170.0000,170.0000,170.0000,170.0000,2024-02-13,12:46:55,1
