Parameter Combination,Rank
"(90.0, 0.2, 0.1, 200.0, 0.1)",144.55555555555554
"(90.0, 0.2, 0.1, 150.0, 0.1)",144.66666666666666
"(120.0, 0.3, 0.3, 200.0, 0.1)",144.66666666666666
"(120.0, 0.3, 0.3, 100.0, 0.1)",145.0
"(90.0, 0.1, 0.1, 150.0, 0.1)",145.88888888888889
"(120.0, 0.1, 0.5, 100.0, 0.1)",147.11111111111111
"(90.0, 0.3, 0.1, 150.0, 0.1)",147.22222222222223
"(90.0, 0.1, 0.1, 200.0, 0.1)",147.44444444444446
"(90.0, 0.1, 0.2, 50.0, 0.1)",148.44444444444446
"(90.0, 0.1, 0.5, 50.0, 0.1)",150.33333333333334
"(90.0, 0.3, 0.3, 200.0, 0.1)",150.55555555555554
"(90.0, 0.3, 0.1, 200.0, 0.1)",150.66666666666666
"(120.0, 0.2, 0.5, 150.0, 0.1)",150.77777777777777
"(90.0, 0.1, 0.2, 150.0, 0.1)",150.88888888888889
"(120.0, 0.3, 0.5, 200.0, 0.1)",150.88888888888889
"(90.0, 0.2, 0.3, 150.0, 0.1)",151.11111111111111
"(200.0, 0.1, 0.1, 100.0, 0.1)",151.11111111111111
"(90.0, 0.3, 0.5, 200.0, 0.1)",151.44444444444446
"(200.0, 0.1, 0.3, 100.0, 0.1)",152.11111111111111
"(90.0, 0.1, 0.1, 100.0, 0.1)",152.11111111111111
"(200.0, 0.3, 0.2, 100.0, 0.1)",152.44444444444446
"(120.0, 0.3, 0.5, 150.0, 0.1)",153.11111111111111
"(200.0, 0.2, 0.5, 200.0, 0.1)",153.11111111111111
"(120.0, 0.1, 0.5, 150.0, 0.1)",153.22222222222223
"(90.0, 0.3, 0.2, 50.0, 0.1)",153.33333333333334
"(90.0, 0.3, 0.1, 50.0, 0.1)",154.55555555555554
"(90.0, 0.1, 0.5, 150.0, 0.1)",155.33333333333334
"(120.0, 0.1, 0.3, 150.0, 0.1)",155.55555555555554
"(200.0, 0.2, 0.2, 100.0, 0.1)",155.77777777777777
"(120.0, 0.1, 0.5, 50.0, 0.1)",155.77777777777777
"(90.0, 0.1, 0.5, 200.0, 0.1)",157.11111111111111
"(90.0, 0.2, 0.2, 150.0, 0.1)",157.55555555555554
"(90.0, 0.2, 0.3, 100.0, 0.1)",158.77777777777777
"(90.0, 0.3, 0.3, 150.0, 0.1)",158.88888888888889
"(90.0, 0.2, 0.2, 100.0, 0.1)",159.33333333333334
"(120.0, 0.2, 0.2, 150.0, 0.1)",159.44444444444446
"(120.0, 0.2, 0.3, 100.0, 0.1)",159.55555555555554
"(120.0, 0.2, 0.5, 50.0, 0.1)",160.0
"(90.0, 0.2, 0.5, 50.0, 0.1)",160.66666666666666
"(200.0, 0.1, 0.5, 150.0, 0.1)",160.66666666666666
"(200.0, 0.1, 0.2, 100.0, 0.1)",160.88888888888889
"(90.0, 0.2, 0.5, 150.0, 0.1)",161.22222222222223
"(90.0, 0.1, 0.2, 100.0, 0.1)",161.55555555555554
"(90.0, 0.1, 0.3, 50.0, 0.1)",161.66666666666666
"(120.0, 0.3, 0.5, 50.0, 0.1)",162.44444444444446
"(200.0, 0.3, 0.2, 150.0, 0.1)",162.55555555555554
"(120.0, 0.3, 0.2, 200.0, 0.1)",165.0
"(200.0, 0.2, 0.2, 150.0, 0.1)",167.0
"(200.0, 0.1, 0.3, 150.0, 0.1)",167.66666666666666
"(120.0, 0.3, 0.5, 100.0, 0.1)",169.0
"(90.0, 0.3, 0.3, 50.0, 0.1)",170.0
"(90.0, 0.2, 0.5, 200.0, 0.1)",170.55555555555554
"(90.0, 0.3, 0.2, 150.0, 0.1)",171.66666666666666
