Parameter Combination,Rank
"(90.0, 0.1, 0.5, 50.0, 0.1)",130.5
"(120.0, 0.1, 0.1, 100.0, 0.1)",130.66666666666666
"(90.0, 0.1, 0.2, 150.0, 0.1)",130.83333333333334
"(120.0, 0.1, 0.3, 200.0, 0.1)",131.0
"(90.0, 0.1, 0.3, 100.0, 0.1)",131.33333333333334
"(90.0, 0.1, 0.5, 200.0, 0.1)",131.5
"(120.0, 0.3, 0.1, 150.0, 0.1)",131.5
"(90.0, 0.1, 0.3, 150.0, 0.1)",131.83333333333334
"(90.0, 0.2, 0.3, 200.0, 0.1)",132.16666666666666
"(120.0, 0.2, 0.2, 100.0, 0.1)",133.33333333333334
"(200.0, 0.3, 0.5, 200.0, 0.1)",134.33333333333334
"(120.0, 0.1, 0.2, 150.0, 0.1)",134.66666666666666
"(200.0, 0.1, 0.5, 50.0, 0.1)",134.66666666666666
"(120.0, 0.3, 0.1, 200.0, 0.1)",134.83333333333334
"(120.0, 0.3, 0.3, 50.0, 0.1)",134.83333333333334
"(90.0, 0.2, 0.1, 150.0, 0.1)",136.5
"(200.0, 0.3, 0.1, 200.0, 0.1)",137.83333333333334
"(200.0, 0.2, 0.1, 200.0, 0.1)",137.83333333333334
"(200.0, 0.3, 0.3, 200.0, 0.1)",138.16666666666666
"(200.0, 0.2, 0.3, 50.0, 0.1)",139.5
"(200.0, 0.1, 0.3, 150.0, 0.1)",140.0
"(120.0, 0.1, 0.3, 50.0, 0.1)",140.16666666666666
"(120.0, 0.1, 0.5, 200.0, 0.1)",140.5
"(120.0, 0.1, 0.3, 100.0, 0.1)",140.5
"(200.0, 0.2, 0.3, 200.0, 0.1)",141.0
"(120.0, 0.2, 0.3, 200.0, 0.1)",141.16666666666666
"(90.0, 0.3, 0.1, 100.0, 0.1)",141.5
"(90.0, 0.3, 0.3, 200.0, 0.1)",141.83333333333334
"(90.0, 0.3, 0.2, 50.0, 0.1)",142.16666666666666
"(90.0, 0.2, 0.3, 150.0, 0.1)",142.66666666666666
"(90.0, 0.1, 0.1, 200.0, 0.1)",143.0
"(90.0, 0.3, 0.1, 50.0, 0.1)",143.0
"(120.0, 0.3, 0.3, 150.0, 0.1)",143.0
"(120.0, 0.1, 0.2, 200.0, 0.1)",143.33333333333334
"(120.0, 0.1, 0.2, 50.0, 0.1)",143.5
"(120.0, 0.2, 0.5, 200.0, 0.1)",143.66666666666666
"(120.0, 0.2, 0.1, 200.0, 0.1)",143.83333333333334
"(90.0, 0.2, 0.2, 150.0, 0.1)",145.0
"(120.0, 0.2, 0.2, 200.0, 0.1)",145.5
"(120.0, 0.2, 0.1, 150.0, 0.1)",146.16666666666666
"(120.0, 0.3, 0.2, 50.0, 0.1)",146.33333333333334
"(90.0, 0.1, 0.2, 100.0, 0.1)",146.66666666666666
"(90.0, 0.2, 0.3, 50.0, 0.1)",146.66666666666666
"(120.0, 0.1, 0.2, 100.0, 0.1)",147.0
"(90.0, 0.1, 0.5, 150.0, 0.1)",147.0
"(90.0, 0.2, 0.3, 100.0, 0.1)",147.33333333333334
"(90.0, 0.2, 0.2, 100.0, 0.1)",147.33333333333334
"(90.0, 0.3, 0.5, 200.0, 0.1)",147.33333333333334
"(120.0, 0.2, 0.3, 150.0, 0.1)",147.83333333333334
"(90.0, 0.3, 0.1, 200.0, 0.1)",148.16666666666666
"(200.0, 0.3, 0.2, 150.0, 0.1)",148.33333333333334
"(90.0, 0.2, 0.5, 50.0, 0.1)",150.0
"(90.0, 0.1, 0.3, 50.0, 0.1)",150.5
"(90.0, 0.2, 0.5, 150.0, 0.1)",151.16666666666666
"(120.0, 0.1, 0.5, 100.0, 0.1)",152.0
"(200.0, 0.1, 0.1, 150.0, 0.1)",152.83333333333334
"(120.0, 0.2, 0.3, 50.0, 0.1)",153.16666666666666
"(200.0, 0.1, 0.2, 150.0, 0.1)",153.33333333333334
"(120.0, 0.3, 0.3, 200.0, 0.1)",155.0
"(120.0, 0.1, 0.1, 50.0, 0.1)",155.0
"(120.0, 0.2, 0.3, 100.0, 0.1)",155.5
"(120.0, 0.3, 0.5, 200.0, 0.1)",156.0
"(90.0, 0.3, 0.3, 50.0, 0.1)",158.0
"(90.0, 0.3, 0.3, 150.0, 0.1)",160.66666666666666
"(200.0, 0.1, 0.2, 100.0, 0.1)",161.33333333333334
"(120.0, 0.3, 0.5, 150.0, 0.1)",163.66666666666666
"(120.0, 0.2, 0.5, 150.0, 0.1)",164.0
"(90.0, 0.1, 0.5, 100.0, 0.1)",164.16666666666666
"(120.0, 0.3, 0.2, 100.0, 0.1)",165.66666666666666
"(200.0, 0.1, 0.5, 150.0, 0.1)",165.66666666666666
"(90.0, 0.3, 0.5, 150.0, 0.1)",165.83333333333334
"(90.0, 0.3, 0.2, 150.0, 0.1)",166.5
"(200.0, 0.2, 0.1, 150.0, 0.1)",167.0
"(120.0, 0.3, 0.3, 100.0, 0.1)",167.83333333333334
"(90.0, 0.2, 0.5, 200.0, 0.1)",168.0
"(90.0, 0.3, 0.2, 100.0, 0.1)",169.0
"(120.0, 0.1, 0.5, 50.0, 0.1)",170.0
"(120.0, 0.1, 0.5, 150.0, 0.1)",172.66666666666666
"(200.0, 0.1, 0.3, 200.0, 0.1)",172.83333333333334
"(120.0, 0.1, 0.3, 150.0, 0.1)",173.0
"(120.0, 0.2, 0.2, 150.0, 0.1)",173.16666666666666
"(200.0, 0.1, 0.5, 200.0, 0.1)",173.33333333333334
"(90.0, 0.3, 0.3, 100.0, 0.1)",174.16666666666666
"(200.0, 0.2, 0.2, 150.0, 0.1)",175.83333333333334
"(200.0, 0.2, 0.5, 200.0, 0.1)",176.0
"(200.0, 0.1, 0.3, 100.0, 0.1)",176.5
"(90.0, 0.2, 0.5, 100.0, 0.1)",176.83333333333334
"(200.0, 0.1, 0.1, 100.0, 0.1)",178.83333333333334
"(120.0, 0.2, 0.5, 50.0, 0.1)",179.33333333333334
"(120.0, 0.3, 0.5, 50.0, 0.1)",179.83333333333334
"(200.0, 0.3, 0.5, 100.0, 0.1)",181.0
